stud_name, course_name, teacher_name, gender, ects, classroom, grade, img_url
Hans, Math, Patrik, MALE, ?, 10, 4, https://student-image.com/hans
Hans, Danish, Jens, MALE, ?, 102, 12, https://student-image.com/hans
Hans, English, Coleen, MALE, ?, 201, 7, https://student-image.com/hans
Hans, History, Jon, MALE, ?, 7, 10, https://student-image.com/hans
Hans, CS, Thomas, MALE, ?, 105, 10, https://student-image.com/hans
Jon, Danish, Jens, MALE, ?, 102, 12, https://student-image.com/jon
Jon, CS, Thomas, MALE, ?, 105, 10, https://student-image.com/jon
Jon, Math, Patrik, MALE, ?, 10, 4, https://student-image.com/jon
Jon, English, Coleen, MALE, ?, 201, 7, https://student-image.com/jon
Jon, History, Jon, MALE, ?, 7, 10, https://student-image.com/jon
Johan, Danish, Jens, MALE, ?, 102, 12, https://student-image.com/johan
Johan, CS, Thomas, MALE, ?, 105, 10, https://student-image.com/johan
Johan, English, Coleen, MALE, ?, 201, 7, https://student-image.com/johan
Johan, Math, Patrik, MALE, ?, 10, 4, https://student-image.com/johan
Johan, History, Jon, MALE, ?, 7, 10, https://student-image.com/johan
